customer_id,customer_name,phone_number,vendor_name,item_id,item,item_img_url,rating,section,section_number,distance,rnk
1,James Richards,(930)377-5679x239,Hungry Howie's,78,Pepperoni Pizza,https://github.com/komae5519pv/komae_dbdemos/blob/main/product_recommendation_20250411/_images/36_Sausage_Peppers_Pizza.jpeg?raw=true,0.072116256,226,292,66,1
2,Gregory Mcmillan,(967)395-1909,Streats of Detroit,190,Pretzel,https://github.com/komae5519pv/komae_dbdemos/blob/main/product_recommendation_20250411/_images/37_Pretzels.jpg?raw=true,0.17494996,223,334,111,1
3,Jeremy Villanueva,(903)650-6992,Tailgate Grill,242,Chicken Tenders with Fries,https://github.com/komae5519pv/komae_dbdemos/blob/main/product_recommendation_20250411/_images/38_Wing_Dings_Fries.jpg?raw=true,0.115478605,120,117,3,1
4,Paula Norris,(566)410-7077x815,Big Boy,21,Grilled Chicken Breast Sandwich ,https://github.com/komae5519pv/komae_dbdemos/blob/main/product_recommendation_20250411/_images/42_Sandwich.png?raw=true,0.1134504,230,325,95,1
5,Jordan Fritz,7524538324,Streats of Detroit,231,Nacho Grande,https://github.com/komae5519pv/komae_dbdemos/blob/main/product_recommendation_20250411/_images/32_Nacho_Grande.png?raw=true,0.1278102,244,312,68,1
6,Linda Meyers,+1-569-590-9345,South East Pub,338,Seltzer,https://github.com/komae5519pv/komae_dbdemos/blob/main/product_recommendation_20250411/_images/30_Seltzer.jpg?raw=true,0.13812315,206,189,17,1
7,Samantha Allen,555-439-7552x24761,Streats of Detroit,198,Nacho Grande,https://github.com/komae5519pv/komae_dbdemos/blob/main/product_recommendation_20250411/_images/32_Nacho_Grande.png?raw=true,0.1615552,227,263,36,1
8,Shannon Thompson,463.487.5779,Streats of Detroit,218,Gatorade,https://github.com/komae5519pv/komae_dbdemos/blob/main/product_recommendation_20250411/_images/23_red_jouce.jpg?raw=true,0.07382908,238,245,7,1
9,John Valencia,(745)888-7996x54556,Streats of Detroit,170,Cheese Cups,https://github.com/komae5519pv/komae_dbdemos/blob/main/product_recommendation_20250411/_images/51_Cheese_Cups.jpg?raw=true,0.052472703,137,145,8,1
10,Lee Brown,(415)489-8797x979,Streats of Detroit,198,Nacho Grande,https://github.com/komae5519pv/komae_dbdemos/blob/main/product_recommendation_20250411/_images/32_Nacho_Grande.png?raw=true,0.14101413,227,256,29,1
11,Kimberly Jackson,001-521-793-5101x30890,Streats of Detroit,192,Cheese Cups,https://github.com/komae5519pv/komae_dbdemos/blob/main/product_recommendation_20250411/_images/51_Cheese_Cups.jpg?raw=true,0.09686559,223,251,28,1
12,Aaron Jenkins,436.569.8124,Turf Tavern,288,Domestic Beer,https://github.com/komae5519pv/komae_dbdemos/blob/main/product_recommendation_20250411/_images/27_druft_beer.jpg?raw=true,0.10554249,236,236,0,1
13,Olivia Cole,737-533-3198,Streats of Detroit,179,Pretzel,https://github.com/komae5519pv/komae_dbdemos/blob/main/product_recommendation_20250411/_images/37_Pretzels.jpg?raw=true,0.1259014,217,216,1,1
14,Martin Garcia,6676179326,Streats of Detroit,190,Pretzel,https://github.com/komae5519pv/komae_dbdemos/blob/main/product_recommendation_20250411/_images/37_Pretzels.jpg?raw=true,0.17971116,223,221,2,1
15,Anthony Michael,+1-405-690-4930x4455,Lefty's Cheesesteaks,88,Chicken Hoagie,https://github.com/komae5519pv/komae_dbdemos/blob/main/product_recommendation_20250411/_images/40_Chicken_Hoagie.png?raw=true,0.09606538,103,104,1,1
16,Joan Payne,+1-970-445-9235x753,Streats of Detroit,179,Pretzel,https://github.com/komae5519pv/komae_dbdemos/blob/main/product_recommendation_20250411/_images/37_Pretzels.jpg?raw=true,0.097353,217,202,15,1
17,Cameron Ward,+1-296-553-2309x302,Streats of Detroit,143,Nacho Grande,https://github.com/komae5519pv/komae_dbdemos/blob/main/product_recommendation_20250411/_images/32_Nacho_Grande.png?raw=true,0.14374697,126,116,10,1
18,Daniel Mclean,+1-842-347-5973,Streats of Detroit,190,Pretzel,https://github.com/komae5519pv/komae_dbdemos/blob/main/product_recommendation_20250411/_images/37_Pretzels.jpg?raw=true,0.18654019,223,199,24,1
19,Cynthia Lopez,001-221-923-6791x22903,Streats of Detroit,231,Nacho Grande,https://github.com/komae5519pv/komae_dbdemos/blob/main/product_recommendation_20250411/_images/32_Nacho_Grande.png?raw=true,0.26884577,244,274,30,1
20,Justin Harvey,(812)470-9680,Streats of Detroit,198,Nacho Grande,https://github.com/komae5519pv/komae_dbdemos/blob/main/product_recommendation_20250411/_images/32_Nacho_Grande.png?raw=true,0.13076188,227,299,72,1
