customer_id,customer_name,phone_number,item_id,rating,vendor_id,vendor_location_number,vendor_name,vendor_scope,section,item_type,item,price,error,item_img_url
945,Gabriel Ponce,(734)728-3467x30673,7,0.12668045,2,1,Big Boy,Food,108,Non-Alcoholic,Milkshakes,,null,https://github.com/komae5519pv/komae_dbdemos/blob/main/product_recommendation_20250411/_images/34_Milkshakes.jpg?raw=true
995,Nathaniel Rodriguez MD,+1-923-229-9197,11,0.24009587,2,1,Big Boy,Food,108,Water,Bottled Water,10.0,null,https://github.com/komae5519pv/komae_dbdemos/blob/main/product_recommendation_20250411/_images/52_Bottled_Water.jpg?raw=true
995,Nathaniel Rodriguez MD,+1-923-229-9197,19,0.24018654,2,2,Big Boy,Food,127,Non-Alcoholic,Regular or Large Soda,10.0,null,https://github.com/komae5519pv/komae_dbdemos/blob/main/product_recommendation_20250411/_images/23_red_jouce.jpg?raw=true
993,Misty Yates,001-512-476-8056x51133,21,0.085228965,2,3,Big Boy,Food,230,Sandwich,Grilled Chicken Breast Sandwich ,,null,https://github.com/komae5519pv/komae_dbdemos/blob/main/product_recommendation_20250411/_images/42_Sandwich.png?raw=true
995,Nathaniel Rodriguez MD,+1-923-229-9197,27,0.22522101,2,3,Big Boy,Food,230,Alcohol,Domestic Beer,11.0,null,https://github.com/komae5519pv/komae_dbdemos/blob/main/product_recommendation_20250411/_images/27_druft_beer.jpg?raw=true
975,Christine Rodgers,001-322-479-9676x0831,28,0.08228125,2,3,Big Boy,Food,230,Non-Alcoholic,Regular or Large Soda,10.0,null,https://github.com/komae5519pv/komae_dbdemos/blob/main/product_recommendation_20250411/_images/23_red_jouce.jpg?raw=true
996,Christopher Ortiz,001-398-886-7927,29,0.086066335,2,3,Big Boy,Food,230,Water,Bottled Water,10.0,null,https://github.com/komae5519pv/komae_dbdemos/blob/main/product_recommendation_20250411/_images/52_Bottled_Water.jpg?raw=true
993,Misty Yates,001-512-476-8056x51133,31,0.09642708,3,2,Coppercraft Distillery,Bar,121,Alcohol,Cocktails and Domestic Beer,10.0,null,https://github.com/komae5519pv/komae_dbdemos/blob/main/product_recommendation_20250411/_images/26_cluft_beer.jpg?raw=true
975,Christine Rodgers,001-322-479-9676x0831,40,0.08838016,5,1,Downtown Counter,Food,139,Hot Dog,Hot Dog,,null,https://github.com/komae5519pv/komae_dbdemos/blob/main/product_recommendation_20250411/_images/11_hotdog.jpg?raw=true
998,Andrew Taylor,+1-796-841-0734x56314,41,0.08265157,5,1,Downtown Counter,Food,139,Snack,Bottomless Souvenir Popcorn,11.0,null,https://github.com/komae5519pv/komae_dbdemos/blob/main/product_recommendation_20250411/_images/44_Popcorn.jpg?raw=true
